1,10626,4
1,10231,3
1,10236,2
1,10211,1
2,10671,4
2,10672,3
2,10636,2
2,11216,1
3,10671,4
3,10672,3
3,11216,2
3,10536,1
4,10672,4
4,10671,3
4,10686,2
4,10676,1
5,11216,4
5,11211,3
5,10301,2
5,10671,1
6,10636,4
6,10706,3
6,10911,2
6,10401,1
7,10671,4
7,10672,3
7,10686,2
7,11211,1
8,10411,4
8,10866,3
8,10861,2
8,10676,1
9,10671,4
9,10672,3
9,10301,2
9,10531,1
10,10671,4
10,10672,3
10,10231,2
10,10236,1
11,10866,4
11,10676,3
11,10401,2
11,10801,1
12,10531,4
12,10501,3
12,10817,2
12,11211,1
13,10536,4
13,10672,3
13,10671,2
13,10686,1
14,11211,4
14,10672,3
14,10671,2
14,10206,1
15,10201,4
15,10206,3
15,10911,2
15,10221,1
16,10671,4
16,10672,3
16,10626,2
16,10211,1
17,10636,4
17,10671,3
17,10656,2
17,10206,1
18,10656,4
18,10636,3
18,10671,2
18,10646,1
19,10641,4
19,10651,3
19,10621,2
19,10671,1
20,10671,4
20,10211,3
20,10911,2
20,10221,1
21,10636,4
21,10606,3
21,10646,2
21,10671,1
22,10636,4
22,10671,3
22,10672,2
22,10861,1
23,10671,4
23,10672,3
23,11216,2
23,11211,1
24,10316,4
24,10306,3
24,10812,2
24,10515,1
25,10316,4
25,11211,3
25,10812,2
25,10531,1
26,10631,4
26,10636,3
26,10671,2
26,10672,1
27,10671,4
27,10672,3
27,10861,2
27,10211,1
28,10671,4
28,10672,3
28,10686,2
28,10721,1
29,10671,4
29,10672,3
29,10686,2
29,11211,1
30,10812,4
30,10306,3
30,10801,2
30,10515,1
31,10636,4
31,10606,3
31,10702,2
31,10671,1
32,10656,4
32,10651,3
32,10631,2
32,10716,1
33,10656,4
33,10651,3
33,10631,2
33,10716,1
34,10656,4
34,10651,3
34,10631,2
34,10716,1
35,10626,4
35,10636,3
35,10631,2
35,10671,1
36,10671,4
36,10672,3
36,10626,2
36,11216,1
37,10671,4
37,10672,3
37,10911,2
37,10646,1
38,10656,4
38,10306,3
38,10316,2
38,10515,1
39,10656,4
39,10877,3
39,10411,2
39,10851,1
40,10515,4
40,10316,3
40,10812,2
40,10851,1
41,10671,4
41,10672,3
41,10606,2
41,11206,1
42,10636,4
42,10671,3
42,10672,2
42,10606,1
43,10671,4
43,10672,3
43,10411,2
43,10401,1
44,10536,4
44,11211,3
44,11201,2
44,11216,1
45,11101,4
45,10656,3
45,10846,2
45,10514,1
46,10636,4
46,10671,3
46,10672,2
46,10686,1
47,10702,4
47,10707,3
47,10711,2
47,10901,1
48,10606,4
48,10631,3
48,10611,2
48,10616,1
49,10671,4
49,10672,3
49,10686,2
49,10631,1
50,10636,4
50,10671,3
50,10672,2
50,10656,1
51,10211,2
51,10306,1
51,10671,3
51,10672,4
52,10706,3
52,10646,2
52,10316,4
52,10606,1
53,10672,4
53,10671,2
53,10911,1
53,10636,3
54,10671,4
54,10306,2
54,10515,3
54,10321,1
55,11216,1
55,10672,4
55,10671,3
55,10516,2
56,10672,4
56,10631,3
56,10641,2
56,11211,1
57,10636,3
57,10672,4
57,10671,2
57,10211,1
58,10672,4
58,10671,3
58,10516,1
58,10676,2
59,10851,1
59,10401,3
59,10360,4
59,10515,2
60,10672,4
60,10671,3
60,10211,2
60,10681,1
61,10201,4
61,10842,1
61,10301,3
61,11211,2
62,10211,4
62,10221,3
62,10846,2
62,10911,1
63,10636,3
63,10672,4
63,10671,2
63,10221,1
64,11206,1
64,10911,4
64,10821,2
64,10301,1
65,11221,2
65,10861,1
65,10866,4
65,10861,3
66,10211,3
66,10861,4
66,11211,2
66,11221,1
67,10211,3
67,10671,1
67,10672,2
67,10636,4
68,10611,2
68,11211,1
68,10606,4
68,10636,3
69,10672,4
69,10636,2
69,10671,3
69,10876,1
70,10672,4
70,10671,3
70,10686,1
70,10211,2
71,10636,4
71,10672,3
71,10671,2
71,10221,1
72,10671,3
72,10672,4
72,10636,2
72,11211,1
73,10636,4
73,10671,3
73,10672,2
73,10321,1
74,10702,4
74,10201,3
74,10636,2
74,10306,1
75,10646,4
75,10672,3
75,11211,1
75,10211,2
76,11211,4
76,10671,1
76,10672,3
76,10211,4
77,10671,3
77,10672,4
77,10231,1
77,10211,2
78,10211,3
78,10636,4
78,11211,1
78,10306,2
79,10861,4
79,10536,2
79,11211,1
79,10801,3
80,10316,1
80,10321,2
80,10301,4
80,10716,3
81,10301,2
81,10201,3
81,10211,4
81,10231,1
82,10846,3
82,11201,2
82,10301,4
82,10321,1
83,10671,4
83,11211,1
83,10306,3
83,10672,2
84,10846,2
84,10321,4
84,10536,1
84,10811,3
85,10321,4
85,10911,2
85,10401,3
85,10851,1
86,10301,4
86,10901,1
86,10411,2
86,10866,3
87,10301,4
87,10321,3
87,10846,1
87,10306,2
88,10606,4
88,10616,3
88,10716,2
88,10601,1
89,10672,4
89,10306,2
89,10221,1
89,10671,3
90,10636,4
90,10672,3
90,10671,2
90,10866,1
91,10321,4
91,11211,2
91,10851,3
91,10301,1
92,11211,4
92,10911,1
92,11216,3
92,11206,2
93,10646,4
93,10651,2
93,10606,2
93,10306,1
94,10536,3
94,10401,1
94,10406,2
94,10531,4
95,10911,4
95,10306,3
95,10231,2
95,10706,1
96,11211,4
96,10401,3
96,10406,2
96,10411,1
97,10861,3
97,10321,4
97,10536,1
97,10322,2
98,10231,4
98,10706,3
98,10707,2
98,10236,1
99,10301,2
99,10321,1
99,10911,3
99,10901,4
100,10636,4
100,10606,3
100,10672,2
100,10671,1
101,10672,4
101,10671,2
101,10636,3
101,10606,1
102,11211,3
102,11216,4
102,11206,2
102,11201,1
103,10676,4
103,11206,3
103,11216,2
103,11211,1
104,10911,3
104,10721,4
104,10211,2
104,11216,1
105,10706,2
105,10636,4
105,10211,1
105,10672,3
106,10851,4
106,10401,3
106,10406,2
106,11201,1
107,11211,4
107,10656,3
107,10211,1
107,10626,2
108,10671,3
108,10672,4
108,11211,2
108,10231,1
109,10211,3
109,10721,4
109,10316,1
109,10726,2
110,11216,4
110,10672,1
110,10301,2
110,10306,3
111,10301,2
111,10211,1
111,10672,3
111,10636,4
112,10321,3
112,10911,2
112,10301,4
112,10536,1
113,10301,4
113,10401,3
113,10406,2
113,10911,1
114,11206,2
114,10306,3
114,10301,4
114,10876,1
115,10211,2
115,10231,4
115,10201,3
115,10706,1
116,10211,2
116,10301,1
116,10702,3
116,10721,4
117,10706,2
117,10301,1
117,10901,3
117,10702,4
118,10606,2
118,10211,3
118,10231,4
118,10911,1
119,10321,1
119,11211,4
119,10536,3
119,10231,2
120,10636,4
120,10672,3
120,10671,2
120,10646,1
121,10621,4
121,10651,3
121,10641,2
121,10636,1
122,10316,4
122,10321,3
122,10306,2
122,10302,1
123,10676,4
123,11216,3
123,10361,2
123,10861,1
124,10911,4
124,10706,3
124,10206,2
124,11211,1
125,10846,4
125,10851,3
125,10316,2
125,10321,1
126,10606,4
126,10626,3
126,10616,2
126,11216,1
127,10721,4
127,10656,3
127,10206,2
127,10316,1
128,10707,4
128,10606,3
128,10636,2
128,10651,1
129,10626,4
129,10631,3
129,10851,2
129,10301,1
130,10651,4
130,10626,3
130,10636,2
130,10671,1
131,10651,4
131,10636,3
131,10656,2
131,11216,1
132,10656,4
132,10661,3
132,10206,2
132,11216,1
133,10651,4
133,10636,3
133,10626,2
133,10671,1
134,10861,4
134,10866,3
134,10871,2
134,10876,1
135,10626,4
135,10651,3
135,10231,2
135,11216,1
136,10861,4
136,10871,3
136,10213,2
136,11206,1
137,10651,4
137,10636,3
137,10641,2
137,10626,1
138,10707,4
138,10706,3
138,10626,2
138,10656,1
139,10636,4
139,10626,3
139,10211,2
139,10671,1
140,10626,4
140,10671,3
140,10231,2
140,10672,1
141,10606,4
141,10601,3
141,10616,2
141,10206,1
142,10707,4
142,10706,3
142,10621,2
142,10626,1
143,10626,4
143,10706,3
143,10231,2
143,10236,1
144,10626,4
144,10651,3
144,10636,2
144,10206,1
145,10651,4
145,10636,3
145,10626,2
145,10861,1
146,10606,4
146,10616,3
146,10621,2
146,11206,1
147,10706,4
147,10626,3
147,10236,2
147,10211,1
148,10636,4
148,10651,3
148,10641,2
148,10672,1
149,10861,4
149,10871,3
149,10876,2
149,10801,1
150,10626,4
150,10231,3
150,10656,2
150,10661,1
151,10671,4
151,10681,3
151,10676,2
151,10211,1
152,10206,4
152,10716,3
152,10717,2
152,10731,1
153,10672,4
153,10671,3
153,10681,2
153,10206,1
154,10672,4
154,10671,3
154,10686,2
154,10206,1
155,10706,4
155,10721,3
155,10626,2
155,10206,1
156,10651,4
156,10636,3
156,10672,2
156,11216,1
157,10606,4
157,10651,3
157,10616,2
157,11206,1
158,10656,4
158,10636,3
158,11216,2
158,10221,1
159,10681,4
159,10676,3
159,10231,2
159,10206,1
160,10707,4
160,10636,3
160,10672,2
160,10651,1
161,10707,4
161,10706,3
161,10651,2
161,10206,1
162,10721,4
162,10706,3
162,10736,2
162,10206,1
163,10702,4
163,10707,3
163,10706,2
163,10651,1
164,10707,4
164,10721,3
164,10651,2
164,10626,1
165,10211,4
165,11101,3
165,10231,2
165,10851,1
166,10707,4
166,10706,3
166,10626,2
166,10236,1
167,10911,4
167,10721,3
167,10206,2
167,11211,1
168,10707,4
168,10706,3
168,10721,2
168,10626,1
169,11211,4
169,10851,3
169,10401,2
169,10512,1
170,10656,4
170,10661,3
170,10726,2
170,10731,1
171,10702,4
171,10707,3
171,10721,2
171,10626,1
172,10706,4
172,10656,3
172,10661,2
172,10221,1
173,11211,4
173,10221,3
173,10681,2
173,10672,1
174,11216,4
174,11211,3
174,10401,2
174,10406,1
175,11216,4
175,11206,3
175,10861,2
175,10876,1
176,10636,4
176,10606,3
176,10641,2
176,10616,1
177,11211,4
177,11216,3
177,10851,2
177,10316,1
178,10606,4
178,10616,3
178,11216,2
178,10911,1
179,10707,4
179,10706,3
179,10721,2
179,10206,1
180,10706,4
180,10726,3
180,10851,2
180,10401,1
181,10236,4
181,10706,3
181,10641,2
181,10721,1
182,10707,4
182,10851,3
182,10911,2
182,10842,1
183,11101,4
183,10846,3
183,10851,2
183,10911,1
184,10861,4
184,10866,3
184,10309,2
184,10514,1
185,11216,4
185,11206,3
185,10866,2
185,10401,1
186,11206,4
186,11211,3
186,10406,2
186,10401,1
187,10601,4
187,10606,3
187,11216,2
187,10707,1
188,10707,4
188,10401,3
188,10406,2
188,11206,1
189,10861,4
189,10301,3
189,10309,2
189,10310,1
190,10711,4
190,10310,3
190,10606,2
190,10301,1
191,10361,4
191,10306,3
191,10316,2
191,10846,1
192,10851,4
192,10861,3
192,10846,2
192,11101,1
193,10606,4
193,11206,3
193,10616,2
193,10316,1
194,10736,4
194,10731,3
194,10231,2
194,10201,1
195,10211,4
195,10221,3
195,10201,2
195,10216,1
196,10736,4
196,10731,3
196,10231,2
196,10201,1
197,10616,4
197,10231,3
197,10211,2
197,10221,1
198,11201,4
198,11216,3
198,10916,2
198,10606,1
199,10636,4
199,10672,3
199,10671,2
199,10651,1
200,11216,4
200,11206,3
200,11201,2
200,11211,1
201,10406,4
201,10301,3
201,10401,2
201,10513,1
202,10606,4
202,11216,3
202,11206,2
202,11201,1
203,10636,4
203,10672,3
203,10221,2
203,10671,1
204,10211,4
204,10606,3
204,10861,2
204,11216,1
205,10866,4
205,11216,3
205,10861,2
205,10846,1
206,10606,4
206,10851,3
206,10842,2
206,10846,1
207,10636,4
207,10672,3
207,10671,2
207,10686,1
208,10861,4
208,10866,3
208,11211,2
208,10536,1
209,10211,4
209,10221,3
209,10316,2
209,10301,1
210,10306,4
210,10231,3
210,10211,2
210,10221,1
211,10806,4
211,10842,3
211,10846,2
211,10321,1
212,10861,4
212,10321,3
212,10211,2
212,10221,1
213,10321,4
213,10316,3
213,10811,2
213,10806,1
214,10306,4
214,10231,3
214,11221,2
214,10636,1
215,10671,4
215,10401,3
215,10406,2
215,10671,1
216,10636,4
216,10672,3
216,10671,2
216,10211,1
217,10201,4
217,10231,3
217,10601,2
217,10321,1
218,10861,4
218,10866,3
218,10851,2
218,10536,1
219,10211,4
219,10221,3
219,10671,2
219,10231,1
220,10731,4
220,10671,3
220,10716,2
220,10706,1
221,10636,4
221,10601,3
221,10606,2
221,10621,1
222,10211,4
222,10231,3
222,10861,2
222,10866,1
223,10861,4
223,10866,3
223,10806,2
223,10671,1
224,10621,4
224,10536,3
224,10211,2
224,11211,1
225,11216,4
225,10606,3
225,10671,2
225,10636,1
226,10801,4
226,10876,3
226,10871,2
226,10872,1
227,10306,4
227,10901,3
227,10911,2
227,10211,1
228,10901,4
228,10911,3
228,10671,2
228,10211,1
229,10621,4
229,10671,3
229,10626,2
229,10671,1
230,10811,4
230,10866,3
230,10321,2
230,11211,1
231,10616,4
231,11216,3
231,11206,2
231,11221,1
232,11216,4
232,11206,3
232,11201,2
232,11221,1
233,10671,4
233,10806,3
233,10842,2
233,10846,1
234,11216,4
234,11206,3
234,11201,2
234,11221,1
235,10606,4
235,10671,3
235,11216,2
235,11206,1
236,10871,4
236,10211,3
236,10231,2
236,11211,1
237,10671,4
237,10316,3
237,11216,2
237,10716,1
238,10636,4
238,10671,3
238,10306,2
238,10716,1
239,11216,4
239,11206,3
239,11201,2
239,11221,1
240,10211,3
240,10221,2
240,10646,4
240,10641,1
241,10606,1
241,10636,4
241,10671,2
241,10672,3
242,10621,4
242,10616,3
242,11216,1
242,10212,2
243,10861,4
243,10866,3
243,10411,1
243,10316,2
244,10671,2
244,11216,3
244,11211,4
244,10821,1
245,10636,4
245,10672,3
245,10671,2
245,10616,1
246,10817,1
246,10861,3
246,10408,2
246,10866,4
247,10636,3
247,10672,4
247,10671,2
247,10211,1
248,10601,1
248,10606,4
248,10611,3
248,10672,2
249,10636,3
249,10672,4
249,10671,2
249,10842,1
250,10231,4
250,10601,3
250,10361,1
250,10408,2
251,10611,2
251,10672,4
251,10721,1
251,10206,3
252,10401,4
252,10408,3
252,10301,2
252,10846,1
253,11216,4
253,10861,3
253,10876,1
253,11211,2
254,10851,2
254,10706,4
254,10721,1
254,10656,3
255,10636,4
255,10672,3
255,10671,2
255,10631,1
256,10616,4
256,10611,2
256,10646,3
256,11211,1
257,10201,1
257,10672,3
257,10671,4
257,10656,2
258,10636,4
258,10672,3
258,10671,2
258,10536,1
259,10646,4
259,10686,3
259,10672,2
259,10671,1
260,10812,3
260,10316,4
260,11206,1
260,11216,2
261,10636,4
261,10672,3
261,10671,2
261,10301,1
262,10672,4
262,10671,2
262,10211,3
262,10216,1
263,10636,4
263,10672,3
263,10671,2
263,10236,1
264,10911,3
264,10916,4
264,10921,2
264,10536,1
265,10702,4
265,10672,2
265,10646,3
265,10671,1
266,10316,3
266,10872,4
266,11211,1
266,10231,2
267,10306,4
267,10322,3
267,10401,1
267,10812,2
268,10706,3
268,10707,4
268,10921,2
268,10232,1
269,10501,3
269,10515,4
269,10301,2
269,10401,1
270,10646,4
270,10641,3
270,10686,1
270,10672,2
271,10316,2
271,10406,1
271,10515,4
271,10812,3
272,10707,3
272,10221,2
272,10231,1
272,10641,4
273,10636,4
273,10672,3
273,10671,2
273,11216,1
274,10221,2
274,10672,4
274,10671,3
274,10536,1
275,10721,3
275,10601,4
275,10316,2
275,10536,1
276,11206,3
276,11216,2
276,10411,1
276,10201,4
277,10636,4
277,10672,3
277,10671,2
277,10316,1
278,10211,4
278,10301,2
278,10306,3
278,10401,1
279,10636,4
279,10672,3
279,10671,2
279,10211,1
280,10206,4
280,10301,3
280,10401,2
280,10408,1
281,10672,4
281,10671,3
281,10206,2
281,10401,1
282,11211,4
282,10851,3
282,10842,2
282,10401,1
283,10911,4
283,10206,3
283,10201,2
283,10301,1
284,10656,4
284,10661,3
284,10911,2
284,11216,1
285,10306,4
285,11216,3
285,10851,2
285,10842,1
286,10626,4
286,10706,3
286,10721,2
286,10206,1
287,10306,4
287,10851,3
287,10211,2
287,10676,1
288,10651,4
288,10636,3
288,10671,2
288,10206,1
289,10636,4
289,10672,3
289,11216,2
289,10861,1
290,11216,4
290,11206,3
290,10851,2
290,10676,1
291,10636,4
291,10641,3
291,10672,2
291,10861,1
